iso_code,continent,location,date,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/24/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/25/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/26/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/27/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/28/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/29/2020,,,,,,,,,,,,,,,,,,,,8.33,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/1/2020,,,,,,,,,,,,,,,,,,,,27.78,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/2/2020,,,,,,,,,,,,,,,,,,,,27.78,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/3/2020,,,,,,,,,,,,,,,,,,,,27.78,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/4/2020,,,,,,,,,,,,,,,,,,,,27.78,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
